nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Minyak Goreng,1 sdm (11 ml),90,10g,0g,0g,0mg,0mg
Minyak Goreng,1 sendok makan (10 ml),80,9g,0g,0g,"0,0g","4,000g"
Mie Goreng,2 sendok (50 g),200,9g,26g,4g,620mg,0mg
Indomie Goreng,1 serving (85 g),380,14g,54g,8g,1070mg,0mg
Bihunku Goreng,1 bungkus (60 g),230,4g,47g,2g,,"47,00g"
Ayam Serundeng,100 g,260,"14,55g","10,76g","21,93g",,
Ayam Geprek,100 g,263,"17,99g","7,6g","17,61g",,
"Chalupa dengan Daging Sapi, Keju, Selada, Tomat dan Krim Asam",1 porsi,482,"30,12g","32,48g","19,48g","1,95g","14,507g"
Udang Asam Manis,100 gram (g),269,"16,84g","25,12g","6,56g","22,44g","5,591g"
Roti Asam Adonan Panggang,1 irisan sedang,69,"0,76g","12,97g","2,21g","0,06g","0,304g"
Krim Asam Bebas Lemak,1 sdm,12,0g,"2,5g","0,5g","0,06g",0g
Salad Bayam,1 mangkok,107,"4,82g","11,2g","5,11g","1,28g","2,168g"
"Bayam Dimasak (dari Beku, Lemak tidak Ditambahkan dalam Masakan)","1 mangkok, beku, helai",61,"0,95g","9,75g","7,58g","0,97g",0g
Lasagna dengan Daging dan Bayam,"1 buah (1/8 18 cm x 30 cm, kira-kira 9 cm x 10 cm)",353,"12,92g","37,49g","21,88g","5,89g","4,188g"
Roti Adonan Asam,100 gram (g),274,3g,"51,9g","8,8g","0,24g","1,215g"
"Taco atau Tostada dengan Ayam, Keju, Selada, Tomat dan Salsa",1 taco atau tostada,142,"7,05g","9,84g","10,11g","0,98g","2,449g"
Ikan Gurame Asam Manis,100 gram (g),194,"10,16g","12,44g","12,54g","0,5g","2,877g"
"Taco Lembut dengan Daging Sapi, Keju, Selada, Tomat dan Krim Asam",1 taco,304,"16,33g","23,91g","14,66g","1,44g","6,239g"
Kentang Panggang Diisi dengan Krim Asam (Kulit Dimakan),1 sedang,316,16g,"39,11g","6,14g","2,12g","5,242g"
Keju Isi Tortelini dengan Saus Asam,1 mangkok,390,"18,55g","38,9g","16,15g","4,03g","6,62g"
Bayam Dimasak (dari Segar),"1 mangkok, segar",74,"4,16g","6,81g","5,33g","0,78g","1,756g"
Sayur Bening Bayam,100 gram (g),36,"0,37g","7,64g","1,79g","2,82g","0,071g"
Krim Asam dengan Lemak telah Dikurangi,1 sdm,29,"2,26g","1,12g","1,12g","0,05g","0,656g"
Sup Pedas dan Asam,1 mangkok,163,"7,91g","4,95g","15,1g","1,59g","3,37g"
Spageti dengan Saus Tomat dan Ayam atau Kalkun,1 mangkok,310,"5,58g","49,43g","14,41g","10,24g","1,672g"
"Sandwich Ayam dengan Keju Ala Fajita, Selada dan Tomat Diatas Roti Pita",1 sandwich pita,310,"12,21g","28,13g","21,73g","4,02g","3,999g"
Kulit Kentang Goreng dengan Keju dan Daging Asap,"1 kulit dari sedang (diameter 5,5 cm - diameter 7,5 cm, mentah)",167,"7,91g","18,14g","6,03g","0,81g","3,507g"
Garang Asem Ayam,1 potong,127,"8,19g","5,84g","8,57g","1,1g","0,911g"
Ayam Masak Merah,100 gram (g),131,"4,31g","7,53g","16,01g",2g,"0,814g"
"Bayam (Cincang atau Daun, Beku)",1 mangkok,48,"1,17g","6,75g","6,15g","1,36g",0g
"Salad Hijau Ayam atau Kalkun Oriental (Ayam dan/atau Kalkun, Selada, Buah, Kacang-Kacangan)",1 mangkok,102,"4,76g","5,09g","9,75g","3,09g","1,964g"
"Ayam atau Kalkun dan Sayuran dengan Kecap Kedelai (Termasuk Wortel, Brokoli, dan/atau Sayur Berdaun Hijau Tua, tanpa Kentang, Campuran)",1 mangkok,180,"8,59g","9,28g","15,86g","2,12g","2,976g"
Salad Makaroni atau Pasta dengan Ayam,1 mangkok,391,"23,61g","26,55g","17,89g","3,33g","6,243g"
Ayam atau Kalkun Manis dan Asam,1 mangkok,224,"6,12g","28,3g","15,35g","16,88g","1,93g"
Ikan Belanak Goreng,100 gram (g),169,"9,2g","2,51g",18g,"0,22g","4,295g"
Kentang Goreng Dilapisi Roti atau Mentega,100 gram (g),322,"19,6g","31,14g","5,83g","4,32g","7,795g"
Kentang Goreng (Buatan) Rumah,1 mangkok,359,"18,7g","45,38g","4,21g","3,01g","6,247g"
Nasi Goreng Udang,1 mangkok,321,"11,6g","41,88g","10,95g","1,5g","3,4g"
Lasagna dengan Ayam atau Kalkun,"1 buah (1/6 20 cm persegi, kira-kira 6,5 cm x 10 cm)",330,"11,43g","35,43g","20,89g","5,6g","3,409g"
Ayam Kecap,1 porsi (200 g),446,"23,91g","18,83g","37,64g","14,54g","10,378g"
Salad Ayam,100 gram (g),132,"4,94g","7,31g","14,5g","1,3g","1,632g"
Sate Ayam,1 tusuk,34,"2,22g","0,73g","2,93g","0,3g","0,963g"
Bakso Ayam,1 sedang,45,"1,57g","1,94g","5,43g","0,41g","0,551g"
Sup Ayam,1 mangkok,75,"2,46g","9,35g","4,05g","0,27g","1,109g"
Kari Ayam,1/2 dada ayam dengan saus,160,"8,6g","6,11g","14,8g","2,67g","3,665g"
"Salad Hijau Ayam atau Kalkun (Ayam dan/atau Kalkun, Sayurn Lainnya Kecuali Tomat dan Wortel)",1 mangkok,65,"1,3g","1,74g","11,08g","1,02g","0,429g"
Ayam Lada Hitam,100 gram (g),177,"8,34g","4,25g","20,49g","0,4g","2,817g"
Nachos dengan Ayam atau Kalkun dan Keju,1 pesanan,538,"29,97g","22,69g","43,64g","0,56g","10,011g"
"Burrito dengan Ayam, Kacang-kacangan dan Keju",1 sedang,535,"24,89g","43,91g","33,18g","2,62g","8,606g"
Salad Ayam atau Kalkun dengan Telur,1 mangkok,384,"28,59g","2,84g","27,59g","1,29g","8,196g"
Sup Nasi Ayam,1 mangkok,60,"1,9g","7,16g","3,54g","0,19g","0,906g"
Ayam Nugget Rendah Lemak,1 nugget,35,"1,14g","2,48g","3,47g","0,1g","0,448g"
Paha Ayam Panggang,"1 kecil (hasil setelah masak, tulang dihilangkan)",135,"8,45g",0g,"13,67g",0g,"3,354g"
Enchilada dengan Ayam dan Keju dengan Saus Tomat,100 gram (g),186,"9,51g","15,34g","10,76g","1,99g","3,064g"
Ampela Goreng,100 gram (g),262,"11,15g","9,45g","32,05g","1,1g","2,951g"
Belut Goreng,1 porsi (200 g),441,"22,73g","17,24g","40,17g","1,38g","12,126g"
Sambal Goreng,1 sdm,15,"0,41g","1,56g","1,37g","0,5g","0,188g"
Singkong Goreng,1 potong,40,"1,58g","6,37g","0,28g","0,27g","0,915g"
Tempe Goreng,1 buah,34,"2,28g","1,79g",2g,"0,03g","0,991g"
Tempe Goreng Tepung,1 potong,72,"4,23g","5,58g","3,83g","0,05g","1,83g"
