nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Susu Steril Madu & Kurma,1 porsi (200 g),130,"4,5g",18g,4g,,"4,00g"
Almond Barley Soya,1 kotak (200 ml),120,"1,5g",12g,4g,45mg,0mg
Master Whey (Baileys),1 serving (41 g),160,3g,9g,25g,,"25,00g"
Susu Hamil,1 gelas (43 g),170,"2,5g",25g,10g,0mg,11mg
Purefarm Swiss Chocolate (225ml),1 kotak (225 g),160,5g,24g,6g,,"6,00g"
Entrasol Active Vanilla Latte,3 sendok makan (32 g),130,2g,21g,7g,150mg,0mg
Fresh Milk Full Cream,1 porsi (200 g),130,7g,10g,6g,,"6,00g"
Chocolate Oat M*Lk,100 ml,85,3g,"12,5g","1,5g",,"1,50g"
Purefarm Low Fat French Vanilla,1 pak  (225 g),110,"2,5g",16g,6g,370mg,5mg
Purefarm Strawberry,1 kotak (225 g),150,"4,5g",23g,5g,120mg,10mg
Soya Milk Original,1 serving (250 ml),110,4g,13g,6g,,"12,00g"
Oat Milk Barista Blend,100 ml,65,3g,8g,"0,5g",,"8,00g"
Susu Rasa Moka,1 porsi (200 ml),140,"3,5g",21g,7g,,"7,00g"
Full Cream Milk,1 porsi (125 ml),80,5g,6g,4g,45mg,10mg
Barista Blend,1 porsi (200 ml),130,6g,16g,1g,,"16,00g"
Rock Melon,1 porsi (190 ml),150,5g,21g,6g,230mg,"6,00g"
Chocolate (Es Susu Lapis Cokelat),1 bungkus (50 g),110,4g,17g,1g,10mg,2mg
Melon Move,1 pak (190 ml),130,4g,18g,4g,"14,00g","0,500g"
Low Fat Milk,1 gelas (45 g),170,"0,5g",34g,6g,110mg,0mg
Chocolatos Chocolate Milk,1 sajian (150 ml),120,3g,20g,3g,,"3,00g"
Entrasol Platinum,1 gelas (57 g),250,7g,34g,12g,"3,0g","1,500g"
Avoccino,1 porsi (250 g),200,"4,5g",25g,14g,105mg,0mg
Full Cream Milk,100 ml,60,3g,5g,3g,120mg,20mg
Good To Go Cereal Milk Banana,1 sajian (250 ml),170,"3,5g",29g,6g,"22,00g","1,000g"
Boost Optimum,100 g,430,18g,53g,15g,"4,5g","3,000g"
N-Iso,1 scoop  (30 g),120,"0,5g",4g,25g,,"4,00g"
Chocolate Banana Milk,1 porsi (250 ml),130,"2,5g",22g,3g,,"22,00g"
Teen Coffee Tiramisu,1 porsi (200 ml),130,2g,20g,6g,340mg,0mg
Susu Kental Manis Tiga Sapi,100 g,120,"3,5g",22g,1g,,"1,00g"
Fresh Milk Low Fat,1 gelas (200 ml),90,"2,5g",11g,6g,"0,0g","0,000g"
EVOWHEY Cokelat Hazelnut,1 sachet (35 g),140,"1,5g",8g,25g,804mg,"25,00g"
Dancow Enriched,1 bedak wangi (27 g),130,7g,11g,7g,,"7,00g"
Fresh Milk Blueberry,1 kotak (250 ml),160,5g,22g,5g,370mg,0mg
Vanilla Twist Milk,1 glass (50 g),200,3g,34g,6g,113mg,5mg
Dancow Instant Coklat,1 bungkus (39 g),160,6g,23g,5g,,"5,00g"
Iso 100,1 sendok (28 g),106,0g,1g,24g,,0mg
Susu,100 ml,70,2g,10g,2g,,"10,00g"
Susu Pisang,1 porsi (125 g),90,"2,5g",15g,3g,"4,0g","0,000g"
Susu Bubuk Kompleta Rasa Vanila,1 sachet (30 g),120,"2,5g",19g,4g,,"4,00g"
King Whey,1 scoop (31 g),130,"1,5g",4g,25g,60mg,55mg
Mass Gainer,2 scoops (60 g),230,3g,37g,15g,,"15,00g"
Susu Ultra Rasa Karamel,1 pak (200 ml),160,5g,23g,6g,,"6,00g"
Susu UHT Stroberi,kotak (250 ml),200,8g,23g,9g,,5mg
Slim & Fit French Vanilla,1 sachet (52 g),200,3g,30g,14g,510mg,"14,00g"
Skim Milk Plain Fiber Pro,1 porsi (26 g),90,0g,15g,7g,120mg,0mg
Yogurt Drink Blueberry,1 botol (200 ml),140,"0,5g",30g,2g,"5,0g","0,000g"
Susu UHT Full Cream,100 ml,60,3g,5g,3g,240mg,10mg
Slimfit,1 glass (200 ml),200,3g,29g,15g,220mg,5mg
Pro-Milch,1 gelas (40 g),190,10g,21g,6g,,"21,00g"
Low Fat Milk Vanilla,1 gelas (45 g),170,"0,5g",34g,6g,105mg,0mg
Susu Tawar,1 bungkus (500 ml),290,15g,25g,14g,,
Double Belgian Chocolate with Pistachio Milk,1 botol (180 ml),45,3g,4g,1g,,"4,00g"
Kompleta Rasa Vanila,1 porsi (30 g),120,"2,5g",19g,4g,,"4,00g"
Susu,100 g,431,11g,75g,8g,,450mg
Fresh Milk,1 porsi (250 ml),170,9g,11g,11g,"0,0g","0,000g"
Ultra Mimi Rasa Coklat,1 kotak (125 ml),100,3g,15g,4g,,"4,00g"
Active Green Tea,1 porsi (40 g),160,"2,5g",28g,6g,,0mg
UHT Low Fat Milk,1 porsi (250 ml),110,3g,12g,9g,95mg,5mg
Gold Vanilla,1 porsi (35 g),130,2g,23g,6g,"0,0g","0,000g"
Teen Chocolate Tinggi Kalsium Rendah Lemak,1 gelas (45 g),180,3g,32g,7g,120mg,5mg
WRP on The Go Stroberi,1 porsi (200 ml),150,3g,24g,7g,,8mg
Walnut Milk,1 porsi (180 ml),60,5g,3g,1g,20mg,0mg
Purefarm Coklat,1 glass (225 g),160,5g,24g,5g,,"5,00g"
Cereal Chocolate Milk Drinks,1 botol (200 ml),170,4g,30g,3g,,"7,0g"
Staymass,1 porsi (35 g),130,2g,16g,12g,210mg,0mg
Susu UHT Full Cream Plain,1 gelas (250 ml),150,8g,12g,8g,"11,00g","2,000g"
Susu Swiss Chocolate,1 bungkus (225 ml),160,6g,20g,6g,,"6,00g"
Susu UHT Rasa Coklat,1 kemasan (125 ml),120,"4,5g",14g,5g,190mg,2mg
Susu Kambing,1 bungkus (20 g),80,5g,8g,1g,,"8,00g"
Este Emje + Ginseng,1 gelas (30 g),120,"3,5g",20g,3g,,"20,00g"
Topping Kental Manis,1 sendok teh (10 ml),35,0g,12g,0g,,"12,00g"
