nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Roti Bonza,1 bungkus (72 g),260,9g,40g,4g,,"2,0g"
Sobek Cokelat Keju,1 sajian (107 g),350,11g,52g,10g,,"52,00g"
Roti Sobek Cokelat Keju,1 serving (118 g),370,13g,54g,9g,,"54,00g"
Roti Sisir Mentega,1 sajian (50 g),190,9g,24g,4g,,"6,00g"
Roti Gandum,2 porsi (68 g),67,"1,07g","12,26g","2,37g",,"3,0g"
Bika Ambon,100 g,264,"4,44g","53,34g","3,11g",92mg,64mg
Roti Panggang Pandan Srikaya,1 porsi (65 g),200,4g,34g,6g,,"10,00g"
Sandwich Melted Cheese,1 bungkus (50 g),160,7g,21g,3g,,"21,00g"
Krim Cokelat,1 serving (60 g),200,7g,31g,5g,,"31,00g"
Chocolate Danish Bread,1 porsi (50 g),160,5g,25g,4g,,"25,00g"
Roti Paratha,1 porsi (65 g),176,"7,56g","22,53g","4,44g",,"4,44g"
Cocopuff Blueberry,10 keping (33 g),150,"3,5g",26g,2g,,"26,00g"
Pizza Base,1 porsi (40 g),140,2g,26g,4g,,"1,00g"
Roti Sisir Mentega,1 porsi (40 g),150,7g,19g,3g,,"5,00g"
Whole Wheat Bread,1 loaf,113,2g,21g,3g,0mg,"3,00g"
Roti Tawar Funwari White Soft,1 lembar (95 g),230,3g,44g,7g,420mg,0mg
Flower Bread Tiramisu,1 porsi (53 g),200,7g,29g,3g,,"29,00g"
Kaya Bun,1 porsi (45 g),140,4g,26g,3g,,100mg
Korean Garlic Cheese Bread,1 porsi (53 g),199,14g,12g,6g,,"0,6g"
Roti Isi Krim Taro,1 bungkus (50 g),170,4g,28g,5g,,"5,00g"
Vegan Low GI Bread,1 slice (40 g),105,3g,"14,85g","4,5g",,"4,50g"
Malkist Original,1 keping (16 g),70,"2,5g",12g,1g,,"12,00g"
Roti Tawar Gandum,100 g,310,7g,50g,11g,,"3,00g"
Malaysian Roti Chanai,1 piece (60 g),200,8g,28g,4g,"4,00g","0,000g"
Roti Sisir Klasik Cokelat,1 porsi (60 g),230,10g,32g,4g,,"4,0g"
Roti Isi Coklat Susu,1 porsi (90 g),320,12g,48g,7g,,170mg
Choco Twist,1 porsi (73 g),250,7g,40g,6g,"8,00g","0,000g"
