nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Swirl Swirl Swirl,100 g,73,"2,76g","8,5g","3,6g",,
Lu Ve Chocolate Chunk,1 porsi (110 ml),170,7g,23g,3g,,55mg
Es Krim Rasa Stroberi dan Vanila,1 porsi (90 ml),80,"2,5g",13g,1g,25mg,"0,000g"
Paddle Pop Banana Boat,1 porsi (45 ml),70,1g,12g,0g,,"11,00g"
Tokyo Love Banana,100 ml,130,5g,19g,2g,,"2,00g"
Es Krim Sandwich,100 ml,80,1g,15g,1g,0mg,"1,00g"
Krayon,1 serving  (55 ml),40,2g,5g,1g,,5mg
Pocky Colourful,1 takaran saji (36 g),180,8g,25g,2g,,30mg
Red Bean,1 sajian (55 ml),40,2g,6g,1g,,15mg
Olympia Choco Fudge,1 porsi (80 ml),120,5g,16g,2g,,"11,00g"
Frost Bite Vita Fruit Orange Coco,1 porsi (60 ml),110,0g,28g,0g,,"14,00g"
Sea Salt Caramel Milkshake,1 porsi (50 g),80,4g,10g,1g,,"9,00g"
Fantasy Susu Cokelat,1 porsi (55 ml),60,2g,10g,0g,,10mg
Feast Pop Vanilla & Caramel,64ml,180,11g,19g,2g,,"2,0g"
Cornetto Mini Unicorn,1 porsi (56 ml),100,"4,5g",15g,1g,,"15,00g"
Paddle Pop Upin & Ipin,1 porsi (60 ml),50,0g,12g,0g,,
Frost Bite,1 pack (46 ml),120,"1,5g",28g,1g,,"28,00g"
Mochi Duo Vanilla Chunk,1 porsi (45 g),90,1g,20g,0g,,"9,00g"
Waku Waku Choco Loop,1 stick (50 ml),110,5g,16g,1g,,"8,00g"
Jcone Choco Vanilla Rainbow,1 sajian  (40 ml),80,"3,5g",10g,1g,,"6,00g"
Cornetto Mini Vanilla,1 porsi (28 ml),60,3g,9g,1g,5mg,"0,500g"
Seru Banana Nugget,1 porsi (35 ml),80,"3,5g",12g,1g,,"6,00g"
Chocolate Condensed Milk,100 ml,150,6g,23g,2g,,40mg
Haku Strawberry & Crispy Choco Monaka,100 ml,140,7g,16g,1g,,"8,00g"
Gold Ribbon Strawberry,100 ml,210,12g,24g,3g,,"19,00g"
Choc Rocks Bar Chocolate Nuts,1 porsi (65 ml),140,11g,8g,2g,,40mg
Mochi Durian,1 bungkus (45 ml),90,"1,5g",18g,1g,,"7,00g"
Unicorn Rainbow Tart,100 g,120,"11,1g","5,3g","4,29g",,
Asian Delight Durian,1 porsi (65 ml),100,"3,5g",16g,1g,45mg,"0,000g"
Waku Waku Chewy Mango,1 serving (55 g),120,2g,24g,0g,,"15,00g"
Es Krim Ogura,100 ml,150,4g,26g,2g,,"9,00g"
Kopi Negeri,1 cup (110 ml),120,"3,5g",21g,2g,"14,00g","0,000g"
Mochi Chocolate,1 sachet (45 g),100,"0,5g",24g,1g,,"24,00g"
Mochi Klepon,1 kemasan (45 g),50,"1,5g",10g,0g,"5,00g","0,000g"
Kulkul Chizz,1 porsi (70 ml),70,2g,10g,1g,,"10,00g"
Choco Boost,1 bungkus (60 g),220,16g,19g,2g,,"2,00g"
Mummy Yummy,100 g,103,"6,5g",13g,6g,,
Hula Hula Taro,1 porsi (45 ml),110,7g,11g,1g,,"9,00g"
Unity,100 g,109,"3,9g","15,3g","4,2g",,
Seru,1 porsi (35 ml),45,"1,5g",7g,1g,"5,00g","0,500g"
Paddle Pop Milky Duo,1 porsi (36 ml),80,"4,5g",10g,1g,,"7,00g"
Frost Bite Pari Pari Choco Mint,1 porsi (60 ml),160,10g,18g,2g,,"13,00g"
