nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Kentang Goreng Dilapisi Roti atau Mentega,100 gram (g),322.0,"19,6g","31,14g","5,83g","4,32mg","7,795mg"
Kentang Goreng (Buatan) Rumah,1 mangkok,359.0,"18,7g","45,38g","4,21g","3,01mg","6,247mg"
Nasi Goreng Udang,1 mangkok,321.0,"11,6g","41,88g","10,95g","1,5mg","3,4mg"
Lasagna dengan Ayam atau Kalkun,"1 buah (1/6 20 cm persegi, kira-kira 6,5 cm x 10 cm)",330.0,"11,43g","35,43g","20,89g","5,6mg","3,409mg"
Ayam Kecap,1 porsi (200 g),446.0,"23,91g","18,83g","37,64g","14,54mg","10,378mg"
Salad Ayam,100 gram (g),132.0,"4,94g","7,31g","14,5g","1,3mg","1,632mg"
Sate Ayam,1 tusuk,34.0,"2,22g","0,73g","2,93g","0,3mg","0,963mg"
Bakso Ayam,1 sedang,45.0,"1,57g","1,94g","5,43g","0,41mg","0,551mg"
Sup Ayam,1 mangkok,75.0,"2,46g","9,35g","4,05g","0,27mg","1,109mg"
Kari Ayam,1/2 dada ayam dengan saus,160.0,"8,6g","6,11g","14,8g","2,67mg","3,665mg"
"Salad Hijau Ayam atau Kalkun (Ayam dan/atau Kalkun, Sayurn Lainnya Kecuali Tomat dan Wortel)",1 mangkok,65.0,"1,3g","1,74g","11,08g","1,02mg","0,429mg"
Ayam Lada Hitam,100 gram (g),177.0,"8,34g","4,25g","20,49g","0,4mg","2,817mg"
Nachos dengan Ayam atau Kalkun dan Keju,1 pesanan,538.0,"29,97g","22,69g","43,64g","0,56mg","10,011mg"
"Burrito dengan Ayam, Kacang-kacangan dan Keju",1 sedang,535.0,"24,89g","43,91g","33,18g","2,62mg","8,606mg"
Salad Ayam atau Kalkun dengan Telur,1 mangkok,384.0,"28,59g","2,84g","27,59g","1,29mg","8,196mg"
Sup Nasi Ayam,1 mangkok,60.0,"1,9g","7,16g","3,54g","0,19mg","0,906mg"
Ayam Nugget Rendah Lemak,1 nugget,35.0,"1,14g","2,48g","3,47g","0,1mg","0,448mg"
Paha Ayam Panggang,"1 kecil (hasil setelah masak, tulang dihilangkan)",135.0,"8,45g",0g,"13,67g",0mg,"3,354mg"
Enchilada dengan Ayam dan Keju dengan Saus Tomat,100 gram (g),186.0,"9,51g","15,34g","10,76g","1,99mg","3,064mg"
Ampela Goreng,100 gram (g),262.0,"11,15g","9,45g","32,05g","1,1mg","2,951mg"
Belut Goreng,1 porsi (200 g),441.0,"22,73g","17,24g","40,17g","1,38mg","12,126mg"
Sambal Goreng,1 sdm,15.0,"0,41g","1,56g","1,37g","0,5mg","0,188mg"
Singkong Goreng,1 potong,40.0,"1,58g","6,37g","0,28g","0,27mg","0,915mg"
Tempe Goreng,1 buah,34.0,"2,28g","1,79g",2g,"0,03mg","0,991mg"
Tempe Goreng Tepung,1 potong,72.0,"4,23g","5,58g","3,83g","0,05mg","1,83mg"
Ikan Mas Goreng,1 gram (g),1.0,"0,04g",0g,"0,18g",0mg,"0,019mg"
Fajita dengan Ayam dan Sayuran,1 tortilla,352.0,"12,11g","41,52g","19,67g","4,82mg","6,21mg"
Sayap Ayam Panggang (Kulit Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",86.0,"5,79g",0g,"7,99g",0mg,"2,273mg"
Paha Ayam (Kulit tidak Dimakan),"1 kecil (hasil setelah masak, tulang dan kulit dihilangkan)",95.0,"4,96g",0g,"11,83g",0mg,"1,893mg"
Bayam,100 gram (g),23.0,"0,39g","3,63g","2,86g","0,42mg","0,01mg"
Okra Goreng Dicelup Adonan,1 mangkok,173.0,"12,94g","13,12g","2,37g","2,93mg","4,391mg"
Kulit Kentang Goreng,1 mangkok,465.0,"13,82g","79,8g","7,39g","3,43mg","8,1mg"
Nasi Goreng Babi,1 mangkok,335.0,"12,87g","41,94g","11,94g","1,41mg","5,659mg"
"Salad Hijau Ayam atau Kalkun (Ayam dan/atau Kalkun, Tomat dan/atau Wortel, Sayuran Lainnya)",1 mangkok,58.0,"1,13g","2,13g","9,49g","1,27mg","0,369mg"
Ayam Taliwang,1 porsi (120 g),312.0,"23,66g","3,16g","21,32g","0,4mg","6,252mg"
Gulai Ayam,1 potong,202.0,"14,88g",4g,"14,33g","0,19mg","2,92mg"
Ayam Geprek,100 gram (g),263.0,"17,99g","7,6g","17,61g","0,78mg","9,191mg"
Bubur Ayam,1 porsi (240 g),372.0,"12,39g","36,12g","27,56g","1,9mg","2,955mg"
Ayam Rica-Rica,1 porsi (200 g),404.0,"22,82g","7,41g","40,99g","0,68mg","9,049mg"
"Dada Ayam (Panggang Oven, Bebas Lemak, Iris)",100 gram (g),79.0,"0,39g","2,17g","16,79g","0,1mg","0,121mg"
Taquitos dengan Ayam,100 gram (g),245.0,"12,63g","19,02g","14,49g","0,83mg","4,813mg"
Ayam (Kulit tidak Dimakan),100 gram (g),188.0,"7,35g",0g,"28,69g",0mg,"2,638mg"
"Sup Ayam (dan) Sayur (dengan Volume Air yang Sama, Kalengan)",1 gelas (240 ml),75.0,"2,84g","8,58g","3,62g","1,3mg","1,277mg"
Sayap Ayam (Kulit tidak Dimakan),"1 kecil (hasil setelah masak, tulang dan kulit dihilangkan)",34.0,"1,37g",0g,"5,14g",0mg,"0,44mg"
"Kentang Goreng (Seperti Waktu Beli, Ditambahi Garam, Beku)",100 gram (g),174.0,"5,05g","29,92g","2,12g","0,21mg","3,102mg"
"Nachos dengan Daging Sapi, Kacang-kacangan, Keju dan Krim Asam",1 pesanan,1598.0,"92,62g","137,92g","60,06g","4,68mg","33,799mg"
Acar Mentimun Asam,1 tusuk,3.0,"0,06g","0,68g","0,1g","0,32mg","0,001mg"
Bayam Bayi/Kecil,1 mangkok,7.0,"0,12g","1,09g","0,86g","0,13mg","0,003mg"
Krim Asam,1 sdm,31.0,"3,02g","0,61g","0,46g","0,02mg","0,872mg"
"Taco atau Tostada Salad dengan Daging Sapi, Kacang-kacangan dan Keju dalam Tortilla Goreng Tepung",1 salad,404.0,"24,94g","27,96g","18,12g","2,95mg","12,073mg"
"Bayam (Kering Padat, Kaleng)",1 mangkok,49.0,"1,07g","7,28g","6,01g","0,86mg","0,03mg"
Souffle Bayam,1 mangkok,233.0,"17,61g","7,92g","10,76g",1mg,"0,83mg"
Asam Jawa,100 gram (g),239.0,"0,6g","62,5g","2,8g","57,4mg","0,181mg"
Ayam Bakar (Kulit tidak Dimakan),"1 potong sedang (hasil setelah masak, tulang dan kulit dihilangkan)",98.0,"3,82g",0g,"14,92g",0mg,"1,372mg"
Dada Ayam (Kulit tidak Dimakan),100 gram (g),164.0,"3,54g",0g,"30,76g",0mg,"1,23mg"
Gekikara Ramen Goreng,1 bungkus (120 g),550.0,23g,71g,12g,0mg,"71,00mg"
Mie Goreng Spesial,1 cangkir (80 g),380.0,20g,45g,6g,0mg,"45,00mg"
Rasa Ayam Bawang,1 bungkus (69 g),300.0,11g,43g,7g,1330mg,0mg
Mi Goreng Pedas,1 bungkus (79 g),360.0,13g,52g,8g,"2,0mg","0,000mg"
Mi Goreng Cakalang,1 porsi (82 g),420.0,16g,60g,9g,0mg,"60,00mg"
