Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
"Domba, daging, kurus, segar",202,0,"17,1","14,8"
"Domba, ginjal, segar",100,"1,0","16,6","3,3"
"Kambing, daging, segar",149,0,"16,6","9,2"
"Kelinci, daging, segar",142,0,"16,9","7,8"
"Kerbau, daging, segar",79,0,"18,7","0,5"
"Kuda, daging, segar",113,"0,9","18,1","4,1"
"Sapi, babat, segar",108,0,"17,6","4,2"
"Sapi, daging, gemuk, segar",273,0,"17,5","22,0"
"Sapi, daging, kurus, segar",174,0,"19,6","10,0"
"Sapi, daging, lemak sedang, segar",201,0,"18,8","14,0"
"Sapi, daleman, segar",183,"1,4","12,0","14,4"
"Sapi, dideh/darah",98,0,"21,9","1,1"
"Sapi, ginjal, segar",137,"0,9","15,0","8,1"
"Sapi, keleponan, segar",84,"0,2","10,5","4,6"
"Sapi, liver, segar",132,"6,0","19,7","3,2"
"Sapi, otak, segar",123,"0,8","10,4","8,6"
"Sapi, usus, segar",126,"1,5","14,0","7,2"
Ulat sagu segar,241,"5,8","5,8","21,6"
"Bekicot, dendeng, mentah",441,"15,8","48,7","20,3"
"Belut, goreng",417,"32,0","25,9","19,4"
"Cumi-cumi, goreng",265,0,"40,6","10,1"
"Ikan asin, kering",193,0,"42,0","1,5"
"Ikan bandeng presto, masakan",296,"11,3","17,1","20,3"
Ikan baung bakar,144,"5,2","17,8","5,8"
Ikan Belida bakar,128,"7,2","18,0","3,0"
"Ikan cakalang asap, mentah",204,"1,9","34,2","5,6"
"Ikan cakalang asin, mentah",198,"5,5","36,5","2,2"
"Ikan calo/ peda, mentah",81,"3,8","11,4","1,9"
"Ikan Gabus asap, mentah",261,"21,9","38,1","2,3"
"Ikan Gabus, kering",268,0,"58,0","4,0"
"Ikan gete, goreng",267,"0,2","23,1","19,4"
"Ikan hiu, kering",298,"20,2","46,3","3,6"
"Ikan katombo, asin",162,"0,3","31,7","2,8"
"Ikan kayu, kering",302,"0,4","70,7","1,9"
Ikan Lais bakar,147,"5,4","17,5","6,5"
"Ikan lomak asin, mentah",258,"18,9","40,3","2,3"
Ikan Mas pepes,209,"11,8","15,2","11,3"
Ikan mujahir goreng,416,0,"46,9","23,9"
Ikan Mujahir pepes,121,"0,8","21,7","2,8"
"Ikan mujahir, dendeng, mentah",582,"37,2","68,3","15,2"
"Ikan Papuyu, bakar",152,"6,7","17,6","6,1"
"Ikan Patin, bakar",144,"4,3","17,5","6,3"
"Ikan peda banjar, mentah",156,"2,0","28,0","4,0"
"Ikan pepetek, mentah",176,"2,0","32,0","4,4"
"Ikan Pindang banjar, mentah",157,"1,8","28,0","4,2"
"Ikan Pindang benggol, mentah",170,0,"31,0","4,2"
"Ikan Pindang layang, mentah",153,0,"30,0","2,8"
"Ikan Pindang selar, mentah",142,0,"27,0","3,0"
"Ikan sale lais, mentah",415,"2,9","61,3","17,6"
"Ikan saluang, kering, mentah",284,"14,6","34,1","9,9"
"Ikan sanggang, masakan",240,"20,7","21,7","7,7"
"Ikan selar kuning, cue, mentah",138,0,"27,0","3,3"
"Ikan selar, kering, mentah",194,0,"38,0","3,5"
"Ikan sepat, kering, mentah",289,0,"38,0","14,0"
"Ikan sunu, asin, mentah",199,"7,1","34,1","3,8"
"Ikan, tepung, mentah",316,"22,4","60,1","6,5"
"Ikan Teri nasi, kering, mentah",144,0,"32,5","0,6"
"Ikan Teri, bubuk, mentah",277,"1,8","60,0","2,3"
"Ikan teri, kering, mentah",170,0,"33,4","3,0"
"Ikan Teri, kering, tawar, mentah",331,0,"68,7","4,2"
"Ikan Teri, tepung, mentah",347,"19,6","48,8","6,4"
"Kerang, asap, mentah",393,"29,4","38,9","13,3"
"Kerang, dendeng, mentah",357,"25,6","41,1","10,0"
"Rebon, kering, mentah",299,"3,2","59,4","3,6"
"Rebung laut, mentah",320,"63,3","7,2","4,2"
Rusip,110,"11,7","11,5","2,0"
Sardines dalam kaleng,338,"1,0","21,1","27,0"
"Teripang, dendeng, mentah",462,"3,5","39,1","32,4"
"Udang kering, mentah",278,"2,2","62,6","4,1"
"Udang papay, mentah",273,"12,5","47,8","3,8"
Abon haruwan,513,"21,3","23,7","37,0"
Abon ikan,435,"36,1","27,2","20,2"
"Betok wadi, masakan",145,"4,1","16,3","7,0"
"Bou ninahu ndamate, masakan",79,"1,1","6,3","1,0"
"Bouiki ninahu nggaluku, masakan",94,"10,8","7,8","2,2"
Cakalang asar (asap papua),155,"10,2","20,1","3,8"
"Dendeng belut, goreng",382,"8,0","55,7","14,1"
"Dendeng mujahir, goreng",598,"9,2","74,3","26,9"
Fillet o-fish,270,"19,3","12,3","15,9"
"Gete kuah asam, masakan",75,"6,0","8,2","2,0"
"Gulai asam keueung, masakan",52,"1,8","10,0","0,5"
"Gulai ikan paya, masakan",148,"5,0","10,0","9,8"
"Gulai ikan, masakan",106,"2,5","16,5","3,3"
"Gulai keumamah, masakan",110,"3,2","5,9","8,2"
"Gulai tiram, masakan",132,"7,8","9,0","7,2"
"Gurame asem manis, masakan",192,"12,7","12,7","10,1"
"Ikan asar merah, masakan",146,"5,6","17,7","5,9"
Jambal goreng,286,"2,3","48,5","9,2"
"Jukku pallu kaloa, masakan",15,"8,8","15,2","4,3"
"Kaholeo, masakan",413,"29,8","28,7","19,8"
"Lawara penjah, masakan",207,"9,6","7,4","15,4"
"Model, masakan",79,"8,6","2,2","4,0"
"Mujahir acar kuning, masakan",330,"12,1","17,8","23,4"
"Parede baleh, masakan",87,"5,5","10,5","2,5"
Pempek adaan,162,"27,8","4,9","3,0"
Pempek belida,156,"31,6","4,2","1,4"
Pempek kapal selam,152,"28,2","4,5","2,3"
Pempek kelesan,211,"26,6","12,3","6,1"
Pempek kulit,243,"39,1","5,2","7,3"
Pempek telur,156,"28,3","4,7","2,7"
Pempek tenggiri,173,"33,4","7,2","1,2"
"Pencok lele, masakan",372,"3,5","7,8","36,3"
"Pinda, masakan",107,"0,4","15,9","0,6"
"Pindang kenari, masakan",124,0,"9,5","9,6"
"Saboko gurita, masakan",87,"2,6","15,7","1,5"
"Saboko saltan, masakan",113,"3,0","17,1","3,6"
"Saboko sardin, masakan",110,"4,9","12,9","4,3"
Sate Bandeng,283,"20,9","12,1","16,8"
"Sepi, masakan",88,"10,6","7,9","1,6"
Tekwan,53,"9,4","1,9","0,9"
"Teri balado, masakan",365,"17,5","23,7","22,3"
Tumis bandeng,189,"0,6","11,3","15,7"
Tumis keumamah,300,"15,5","14,5","20,0"
"Ikan bader, segar",193,0,"19,0","13,0"
"Ikan balong, segar",107,"1,5","16,5","3,9"
"Ikan bambangan, segar",112,"3,7","20,0","1,3"
"Ikan bandeng, segar",123,0,"20,0","4,8"
"Ikan banjar, segar",111,"4,8","19,4","0,9"
"Ikan baronang, segar",78,"3,7","14,5","0,6"
"Ikan batung, segar",115,"4,2","14,5","4,6"
"Ikan baung, segar",123,"3,3","15,1","5,5"
"Ikan bawal, segar",91,0,"19,0","1,7"
"Ikan Belida, segar",80,"2,2","14,7","1,4"
"Belut, segar",70,"1,0","14,6","0,8"
"Belut,laut, segar",93,"6,1","12,8","1,5"
"Ikan beunteur, segar",109,0,"17,0","4,0"
"Ikan biawan, segar",90,"2,1","14,9","2,5"
"Ikan bili, segar",88,"6,2","14,2","0,7"
"Ikan bubara, segar",100,"4,9","14,7","2,4"
"Ikan bulan-bulan, segar",134,"5,0","25,5","1,3"
"Ikan, cakalang, segar",107,"5,5","19,6","0,7"
"Ikan cakalang, hati, segar",120,"10,0","11,3","3,9"
"Ikan cakalang, jantung, segar",116,"10,2","11,2","1,2"
"Ikan cakalang, perut, segar",86,"8,7","10,2","1,1"
"Cumi-cumi, segar",75,"0,1","16,1","0,7"
"Ikan daun, segar",101,"4,6","11,5","4,1"
"Ikan ekor kuning, segar",108,"2,1","22,3","1,2"
"Ikan gabus, segar",80,"2,6","16,2","0,5"
"Ikan Heu, segar",81,"6,6","10,0","1,6"
"Ikan hitam, segar",101,"6,7","10,3","3,7"
"Ikan hiu, segar",57,"2,2","10,7","0,3"
"Ikan kacangan, segar",77,"1,6","15,6","0,9"
"Ikan kakap, segar",92,0,"20,0","0,7"
"Ikan kakatua, segar",82,"6,4","11,4","1,2"
"Ikan kalaban, segar",77,"1,3","16,4","0,7"
"Ikan Kamera, segar",86,0,"19,7","0,8"
"Ikan kapar, segar",132,"0,8","17,0","6,7"
"Ikan kawalinya, segar",110,"5,4","12,6","4,2"
"Ikan oci, kembung, segar",125,"2,2","21,3","3,4"
"Keong, segar",64,"2,0","12,0","1,0"
"Kepiting, segar",151,"14,1","13,8","3,8"
"Kerang, segar",101,"3,9","14,4","2,6"
"Ikan keru-keru, segar",93,"0,8","16,5","2,1"
"Ikan kima, segar",70,"5,2","10,8","0,7"
"Kodok, segar",73,0,"16,4","0,3"
"Kura-kura, segar",83,0,"19,1","0,2"
"Kuro, segar",87,"1,0","16,0","2,2"
"Ikan lais, segar",161,"2,4","11,9","11,5"
"Ikan layang, segar",109,0,"22,0","1,7"
"Ikan layur, segar",82,"0,4","18,0","1,0"
"Ikan lehoma, segar",90,0,"20,4","0,9"
"Ikan lemuru, segar",112,0,"20,0","3,0"
"Ikan lidah, segar",104,"2,0","15,6","3,2"
"Lokan, segar",217,"5,1","11,0","1,7"
"Ikan malalugis, segar",99,"0,9","20,6","1,4"
"Ikan mamar merah, segar",115,"4,4","15,3","4,0"
"Ikan mas, segar",86,0,"16,0","2,0"
"Ikan mayong, segar",97,"0,4","17,9","2,0"
"Ikan mujahir, segar",89,0,"18,7","1,0"
"Ikan nasu metti, segar",154,"10,5","16,8","5,0"
"Ikan paling, segar",303,0,"14,0","27,0"
"Ikan papuyu/ betok, segar",120,"4,6","14,3","4,9"
"Ikan Patin, segar",132,"1,1","17,0","6,6"
"Ikan pomo, segar",147,"2,6","22,5","5,2"
"Ikan Puntin, segar",76,"2,2","14,4","1,1"
"Rajungan, segar",76,"2,4","12,1","2,0"
"Rebon, udang kecil, segar",81,"0,7","16,2","1,2"
"Ikan saluang, segar",113,"3,4","13,9","4,9"
"Ikan sarden, segar",109,"3,4","19,9","1,8"
"Ikan selar, segar",100,0,"18,8","2,2"
"Ikan sepat, segar",84,"4,7","15,2","0,6"
"Ikan sidat, segar",81,"3,8","11,4","1,9"
"Ikan sunu, segar",111,"6,7","13,3","3,4"
"Ikan tahuman, segar",88,"4,1","15,9","0,9"
"Ikan Sale, segar",534,"4,9","40,2","39,3"
"Ikan tarmon, segar",96,"2,0","19,5","1,1"
"Ikan telan, segar",95,"6,5","15,8","0,7"
"Ikan tembang, segar",204,0,"16,0","15,0"
"Ikan tempahas, segar",101,"1,0","15,1","4,1"
"Ikan terbang, segar",98,"1,0","19,6","1,7"
"Ikan teri, segar",74,"4,1","10,3","1,4"
"Ikan titang, segar",82,"2,3","17,4","0,4"
"Ikan tongkol, segar",100,"8,0","13,7","1,5"
"Ikan turi, segar",96,"0,2","19,2","2,0"
"Udang, besar, segar",56,"1,2","11,4","0,6"
"Udang galah, segar",81,"3,0","16,5","0,3"
"Udang, segar",91,"0,1","21,0","0,2"
"Telur ayam, dadar, masakan",251,"1,4","16,3","19,4"
"Telur bebek, asin, mentah",179,"4,4","13,6","13,3"
"Telur bebek, dadar, masakan",301,0,"20,0","23,7"
"Ikan, telur, asin, mentah",358,"9,4","20,7","26,4"
"Bayau mi balu, masakan",313,"44,8","6,0","12,2"
"Cucuru bayau, masakan",349,"38,3","6,8","18,7"
"Kalio telur, masakan",193,"9,7","10,6","12,4"
"Telur ayam kampung, segar",174,"1,2","10,8","14,0"
"Telur ayam ras, segar",154,"0,7","12,4","10,8"
"Telur ayam ras, bagian kuning, segar",355,"0,7","16,3","31,9"
"Telur ayam ras, bagian putih, segar",50,"0,8","10,8",0
"Telur bebek alabio, segar",187,"3,0","11,8","14,2"
"Telur bebek, bagian kuning, segar",386,"0,8","17,0","35,0"
"Telur bebek, bagian putih, segar",54,"0,8","11,0",0
"Telur bebek tambak, segar",187,"7,9","10,9","12,4"
"Telur burung maleo, segar",436,"0,4","26,5","36,3"
"Telur penyu, segar",136,"2,7","8,6","10,1"
"Telur burung puyuh, segar",116,"1,6","10,7","7,0"
Es krim,210,"20,6","4,0","12,5"
Hangop,65,"3,5","10,0","1,0"
Keju,326,"13,1","22,8","20,3"
Kwark (Quark),242,"3,0","19,0","17,0"
"Susu asam untuk bayi, bubuk",418,"65,5","19,0","9,0"
Susu bubuk,513,"36,2","24,6","30,0"
Susu kental manis,343,"55,0","8,2","10,0"
Susu kental tak manis,138,"9,9","7,0","7,9"
"Susu skim, bubuk",359,"52,0","35,6","1,0"
"Susu skim, segar",36,"5,1","3,5","0,1"
"Yoghurt, segar",52,"4,0","3,3","2,5"
"Kepala susu - krim, segar",204,"4,0","2,6","20,0"
Susu ibu - ASI,62,"7,0","1,5","3,2"
"Susu kambing, segar",64,"6,6","4,3","2,3"
"Susu kerbau, segar",160,"7,1","6,3","12,0"
"Susu kuda, segar",40,"5,4","2,0","1,1"
"Susu sapi, segar",61,"4,3","3,2","3,5"
Margarin,720,"0,4","0,6","81,0"
Mentega,742,"1,4","0,5","81,6"
Santan (dengan air),122,"7,6","2,0","10,0"
Santan murni,324,"5,6","4,2","34,3"
"Kelapa setengah tua, daging, segar",180,"10,0","4,0","15,0"
"Kelapa tua, daging, segar",359,"14,0","3,4","34,7"
Lemak babi (lard),902,0,0,"100,0"
Lemak babi (bacon),626,"1,1","9,1","65,0"
Lemak ikan,372,"14,4","12,0","29,4"
Lemak kerbau (lemak sapi),818,0,"1,5","90,0"
"Minyak hiu, hati",902,0,0,"100,0"
Minyak ikan,902,0,0,"100,0"
Minyak kacang tanah,902,0,0,"100,0"
Minyak kedelai,883,0,0,"99,9"
Minyak kelapa,870,0,"1,0","98,0"
Minyak kelapa sawit,884,0,0,"100,0"
Minyak wijen,881,0,"0,2","99,7"
Minyak Zaitun,884,0,0,"100,0"
"Coklat manis, batang",527,"62,7","2,0","29,8"
"Coklat pahit,batang",615,"29,2","5,5","42,6"
"Coklat susu, batang",565,"53,6","9,0","35,0"
Coklat bubuk,311,"48,9","8,0","4,0"
Gula aren,368,"92,0",0,0
Gula kelapa,386,"76,0","3,0","10,0"
Gula putih,394,"94,0",0,0
"Jam, selai",239,"64,5","0,5","0,6"
Kopi bubuk instant,129,"35,0","12,3","0,5"
Madu,294,"79,5","0,3",0
Markisa squash,217,"49,6","2,5","1,0"
"Markisa squash, BD",104,"23,7","1,2","0,5"
Melase,276,"71,0",0,"0,1"
Sirup,213,"55,0",0,0
Sirup pirous,228,"55,9","0,2","0,4"
Teh hijau daun kering,300,"53,6","28,3","4,8"
Teh hitam daun kering,293,"58,8","24,5","2,8"
Teh melati daun kering,299,"59,0","24,1","3,5"
Balichong,152,"22,9","13,2","0,8"
Bekasam,116,"6,1","11,9","4,9"
Bekasang,78,"3,6","11,4","2,0"
Cuka,21,"5,0","0,1","0,1"
Kecap,71,"9,0","5,7","1,3"
Petis ikan,165,"20,8","20,0","0,2"
Petis udang kering,345,"59,3","23,8","1,4"
Petis udang pasta,220,"38,0","15,0","0,9"
Saos tomat,110,"24,5","2,0","0,4"
Tempoya,110,"21,9","1,7","1,3"
Terasi,155,"9,9","22,3","2,9"
Terasi dobo,191,"6,6","33,1","3,6"
Terasi merah,174,"5,6","30,0","3,5"
"Asam arang coklat, segar",130,"30,9","0,5","1,1"
"Asam arang merah, segar",99,"20,3","0,8","1,6"
"Asam kandis, kering",261,"63,3","0,9","1,6"
"Asam kandis, segar",75,"16,1","0,2","1,1"
"Asam masak pohon, segar",267,"62,5","2,8","0,6"
"Asam payak, segar",135,"32,1","0,8","0,4"
"Bawang merah, segar",46,"9,2","1,5","0,3"
"Bawang putih, segar",112,"23,1","4,5","0,2"
"Boros kunci, segar",40,"7,2","1,0","0,8"
"Boros laja (lengkuas), segar",26,"4,7","1,0","0,3"
"Cabai gembor merah, segar",38,"6,3","1,6","0,8"
"Cabai hijau, segar",26,"5,2","0,7","0,3"
"Cabai merah, kering",367,"61,8","15,9","6,2"
"Cabai merah, segar",36,"7,3","1,0","0,3"
"Cabai rawit, segar",120,"19,9","4,7","2,4"
"Cengkeh, kering",330,"57,4","5,2","8,9"
"Daun salam, bubuk",301,"49,0","14,2","10,9"
"Jahe, segar",51,"10,1","1,5","1,0"
Kemiri,675,"8,0","19,0","63,0"
"Ketumbar, kering",418,"54,2","14,1","16,1"
Kluwek,310,"13,5","10,0","24,0"
"Kunyit, segar",69,"9,1","2,0","2,7"
"Merica, kering",365,"64,4","11,5","6,8"
"Pala, biji, kering",518,"40,1","7,5","36,4"
"Kelapa muda, air, segar",17,"3,8","0,2","0,1"
