Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
McDonalds Ghee Rice with Mc Spicy Fried Chicken 1 pc,720.3,77.47,26.91,29.2
McDonalds McSpicy Fried Chicken 1 pc,248.76,12.7,17.33,14.29
McDonalds 4 piece Chicken McNuggets,169.68,10.5,10.03,9.54
McDonalds 6 piece Chicken McNuggets,254.52,15.74,15.04,14.3
McDonalds 9 piece Chicken McNuggets,381.77,23.62,22.56,21.46
McDonalds 2 piece Chicken Strips,164.44,2.68,10.17,12.38
McDonalds 3 piece Chicken Strips,246.65,4.02,15.26,18.57
McDonalds 5 piece Chicken Strips,411.09,0.73,25.43,28.54
McDonalds Regular Fries,224.59,27.08,3.38,10.39
McDonalds Medium Fries,317.92,38.34,4.79,14.7
McDonalds Large Fries,449.17,54.16,6.76,20.77
McDonalds Regular Wedges,204.65,28.74,3.97,7.15
McDonalds Medium Wedges,280.05,39.33,5.44,9.79
McDonalds Large Wedges,387.76,54.46,7.53,13.55
McDonalds L1 Coffee,6.8,1.7,0,0
McDonalds L1 Coffee with milk,35.8,1.6,1,2
McDonalds Double Chocochips Muffin,341.68,40.13,5.13,17.28
McDonalds Vanilla Chocochips Muffin,329.29,40.13,4.48,15.46
McDonalds Veg McMuffin,309.35,38.86,10.22,11.78
McDonalds Double Cheese McMuffin,273.78,29,9.58,12.82
McDonalds Spicy Egg McMuffin,278.27,31.37,11.49,11.81
McDonalds Sausage Mc Muffin,281.44,28.62,16.25,10.81
McDonalds Sausage Mc Muffin with egg,290.42,28.87,22.46,15.94
McDonalds Egg McMuffin,283.46,28.12,14.05,12.31
McDonalds Hot Cake with maple syrup,432.98,68.01,8.6,14.02
McDonalds Hash Brown,140.29,15.63,1.93,7.32
McDonalds Espresso,12.87,2.55,0.52,0.03
McDonalds Espresso Machiato,44.98,4.97,2.09,2.02
McDonalds Americano (S),12.87,2.55,0.52,0.03
McDonalds Americano (R),23.07,4.57,0.94,0.05
McDonalds Americano (L),26.71,5.3,1.09,0.06
McDonalds Cappuccino (S),125.25,11.02,6.02,7.01
McDonalds Cappuccino (R),183.61,16.67,8.79,10.02
McDonalds Cappuccino (L),219.36,19.81,10.51,12.03
McDonalds Latte (S),147.72,12.71,7.12,8.41
McDonalds Latte (R),190.03,17.15,9.1,10.42
McDonalds Latte (L),232.2,20.77,11.14,12.82
McDonalds Flat White (S),166.99,14.16,8.06,9.6
McDonalds Flat White (R),215.72,19.08,10.36,12.02
McDonalds Flat White (L),251.47,22.22,12.08,14.02
McDonalds Mocha (S),185.85,22.59,7.15,8.2
McDonalds Mocha (R),244,31.72,8.99,9.91
McDonalds Mocha (L),302.02,40.04,10.88,12.01
McDonalds Babycino,143.5,22.85,3.87,4.38
McDonalds Hot Chocolate (S),239.42,37.08,6.73,7.77
McDonalds Hot Chocolate (R),296.81,48.41,7.7,8.76
McDonalds Hot Chocolate (L),383.29,58.43,11.01,12.84
McDonalds Premium Dark Hot Chocolate,214.21,33.04,6.15,5.96
McDonalds Double Dark Hot Chocolate,255.78,41.29,6.87,6.32
McDonalds English Breakfast (S),9.93,0.28,0.56,0.28
McDonalds English Breakfast (R),11.75,0.33,0.66,0.33
McDonalds English Breakfast (L),16.23,0.46,0.91,0.46
McDonalds Moroccon Mint Green Tea (S),6.25,2.79,0.33,0.28
McDonalds Moroccon Mint Green Tea (R),7.39,3.3,0.4,0.33
McDonalds Moroccon Mint Green Tea (L),10.21,4.56,0.55,0.46
McDonalds Strawberry Green Tea (S),7.03,2.79,0.47,0.28
McDonalds Strawberry Green Tea (R),8.32,3.3,0.56,0.33
McDonalds Strawberry Green Tea (L),11.49,4.56,0.78,0.46
McDonalds Lemon Ice Tea,121.86,30.59,0.27,0.17
McDonalds Strawberry Ice Tea,94.95,24.17,0.24,0.16
McDonalds Green Apple Ice Tea,94.94,24.17,0.24,0.16
McDonalds Iced Coffee,185.34,31.88,4.36,4.45
McDonalds Cold Coffee Frappe,331.17,45.39,4.98,14.73
McDonalds Mocha Frappe,397.98,60.93,5.49,15.01
McDonalds Chocolate Oreo Frappe,481.11,72.51,6.03,18.89
McDonalds Strawberry Shake,255.51,44.07,3.67,7.44
McDonalds Chocolate Shake,270.9,46.76,4.16,7.7
McDonalds Mango Smoothie,231.44,46.25,3.21,3.63
McDonalds Mixed Berry Smoothie,235.43,47.16,3.33,3.59
McDonalds Raw Mango Cooler,102.38,25.18,0.14,0.04
McDonalds Mix Berry Cooler,103.85,25.56,0.16,0.04
McDonalds Sweet Lime Beverage,128.21,31.72,0.07,0.08
McDonalds Iced Americano,150.85,26.01,3.59,3.57
McDonalds American Mud Pie Shake,398.19,64.75,5.67,12.77
McDonalds Soft serve cone,85.73,15.23,1.99,1.82
